State,Governor,Spouse,Party,Term Start,Term Ends,Web
Alabama,Kay Ivey,[ None ],Republican,2017,2019,Find out more...
Alaska,"William M. ""Bill"" Walker",Donna Walker,Independent,2014,2018,Find out more...
Arizona,"Douglas A. ""Doug"" Ducey",Angela Ducey,Republican,2015,2019,Find out more...
Arkansas,William Asa Hutchinson,Susan Hutchinson,Republican,2015,2019,Find out more...
California,"Edmund G. ""Jerry"" Brown, Jr.",Anne Gust Brown,Democrat,2011,2019,Find out more...
Colorado,John Hickenlooper,Robin Pringle Hickenlooper,Democrat,2011,2019,Find out more...
Connecticut,"Dannel Patrick ""Dan"" Malloy",Cathy Malloy,Democrat,2011,2019,Find out more...
Delaware,"John Carney, Jr.",Tracey Quillen Carney,Democrat,2017,2021,Find out more...
Florida,"Richard Lynn ""Rick"" Scott",Ann Scott,Republican,2011,2019,Find out more...
Georgia,John Nathan Deal,Sandra Deal,Republican,2011,2019,Find out more...
Hawaii,David Yutaka Ige,Dawn Ige,Democrat,2014,2018,Find out more...
Idaho,"Clement Leroy ""Butch"" Otter",Lori Easley Otter,Republican,2007,2019,Find out more...
Illinois,Bruce Vincent Rauner,Diana Rauner,Republican,2015,2019,Find out more...
Indiana,Eric Joseph Holcomb,Janet Holcomb,Republican,2017,2021,Find out more...
Iowa,Kimberly Kay Reynolds,Kevin Reynolds,Republican,2017,2019,Find out more...
Kansas,"Samuel Dale ""Sam"" Brownback",Mary Brownback,Republican,2011,2019,Find out more...
Kentucky,Matthew Griswold Bevin,Glenna Bevin,Republican,2015,2019,Find out more...
Louisiana,John Bel Edwards,Donna Edwards,Democrat,2016,2020,Find out more...
Maine,Paul R. LePage,Ann LePage,Republican,2011,2019,Find out more...
Maryland,"Lawrence Joseph ""Larry"" Hogan",Yumi Hogan,Republican,2015,2019,Find out more...
Massachusetts,"Charles Duane ""Charlie"" Baker, Jr.",Lauren Baker,Republican,2015,2019,Find out more...
Michigan,"Richard D. ""Rick"" Snyder",Sue Snyder,Republican,2011,2019,Find out more...
Minnesota,Mark Brandt Dayton,[ None ],Democrat,2011,2019,Find out more...
Mississippi,"Dewey Phillip ""Phil"" Bryant",Deborah Bryant,Republican,2012,2020,Find out more...
Missouri,Eric Robert Greitens,Sheena Elisa Chestnut,Republican,2017,2021,Find out more...
Montana,"Stephen Clark ""Steve"" Bullock",Lisa Downs Bullock,Democrat,2013,2021,Find out more...
Nebraska,"John Peter ""Pete"" Ricketts",Susanne Shore,Republican,2015,2019,Find out more...
Nevada,Brian Edward Sandoval,Kathleen Sandoval,Republican,2011,2019,Find out more...
New Hampshire,"Christopher T. ""Chris"" Sununu",Valerie Sununu,Republican,2017,2019,Find out more...
New Jersey,"Christopher James ""Chris"" Christie",Mary Pat Christie,Republican,2010,2018,Find out more...
New Mexico,Susana Martinez,Chuck Franco,Republican,2011,2019,Find out more...
New York,Andrew Mark Cuomo,[ None ],Democrat,2011,2019,Find out more...
North Carolina,Roy Asberry Cooper III,Kristin Cooper,Democrat,2017,2021,Find out more...
North Dakota,Douglas J. Burgum,Kathryn Helgaas,Republican,2016,2020,Find out more...
Ohio,John Richard Kasich,Karen Waldbillig Kasich,Republican,2011,2019,Find out more...
Oklahoma,Mary Fallin,Wade Christensen,Republican,2011,2019,Find out more...
Oregon,"Katherine ""Kate"" Brown",Dan Little,Democrat,2015,2019,Find out more...
Pennsylvania,"Thomas Westerman ""Tom"" Wolf",Frances Wolf,Democrat,2015,2019,Find out more...
Rhode Island,Gina Marie Raimondo,Andrew Kind Moffit,Democrat,2015,2019,Find out more...
South Carolina,Henry Dargan McMaster,Peggy McMaster,Republican,2017,2019,Find out more...
South Dakota,Dennis M. Daugaard,Linda Daugaard,Republican,2011,2019,Find out more...
Tennessee,"William Edward ""Bill"" Haslam",Crissy Haslam,Republican,2011,2019,Find out more...
Texas,"Gregory Wayne ""Greg"" Abbott",Cecilia Phalen,Republican,2015,2019,Find out more...
Utah,Gary Richard Herbert,Jeanette Herbert,Republican,2009,2021,Find out more...
Vermont,Philip B. Scott,Diana McTeague Scott,Republican,2017,2019,Find out more...
Virginia,"Terence Richard ""Terry"" McAuliffe",Dorothy Swann McAuliffe,Democrat,2014,2018,Find out more...
Washington,Jay Robert Inslee,Trudi Inslee,Democrat,2013,2021,Find out more...
West Virginia,James Conley Justice Jr.,Cathy Justice,Democrat,2017,2021,Find out more...
Wisconsin,Scott Kevin Walker,Tonette Walker,Republican,2011,2019,Find out more...
Wyoming,"Matthew Hansen ""Matt"" Mead",Carol Mintze Mead,Republican,2011,2019,Find out more...